"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BGG","Briggs & Stratton Corporation","22.49","965086067.14","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bgg",
"BFAM","Bright Horizons Family Solutions Inc.","101.17","5925124648.08","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BEDU","Bright Scholar Education Holdings Limited","17.97","2106982500","n/a","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bedu",
"EAT","Brinker International, Inc.","37.56","1740798578.4","n/a","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/eat",
"BCO","Brink&#39;s Company (The)","72.9","3686946878.7","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/bco",
"BMY","Bristol-Myers Squibb Company","66.6","108729994633.2","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bmy",
"BRS","Bristow Group Inc","13.23","468038292.12","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/brs",
"BTI","British American Tobacco p.l.c.","57.93","132870882714.33","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/bti",
"BRX","Brixmor Property Group Inc.","15.32","4668065984.72","n/a","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/brx",
"BR","Broadridge Financial Solutions, Inc.","107.28","12514660430.4","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BKD","Brookdale Senior Living Inc.","7.24","1350787948.04","n/a","2005","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/bkd",
"BAM","Brookfield Asset Management Inc","40.08","39673713649.2","n/a","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/bam",
"BBU","Brookfield Business Partners L.P.","35.72","2364156704.56","n/a","2016","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bbu",
"DTLA^","Brookfield DTLA Inc.","25.28","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dtla^",
"INF","Brookfield Global Listed Infrastructure Income Fund","11.95","164900918","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/inf",
"BIP","Brookfield Infrastructure Partners LP","41","11339488900","n/a","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/bip",
"RA","Brookfield Real Assets Income Fund Inc.","21.68","791058474.16","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/ra",
"BEP","Brookfield Renewable Partners L.P.","29.98","5408043062.78","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/bep",
"BRO","Brown & Brown, Inc.","52.75","7268980858.75","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/bro",
"BF.A","Brown Forman Corporation","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bf.a",
"BF.B","Brown Forman Corporation","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bf.b",
"BRT","BRT Apartments Corp.","11.4","161150445.6","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/brt",
"BC","Brunswick Corporation","61.61","5394403959.19","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bc",
"BT","BT Group plc","16.07","31888995326.01","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/bt",
"BPL","Buckeye Partners L.P.","43.07","6596284075.59","n/a","1986","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpl",
"BKE","Buckle, Inc. (The)","19.5","952404960","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/bke",
"BVN","Buenaventura Mining Company Inc.","14.37","3653695277.28","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bvn",
"BBW","Build-A-Bear Workshop, Inc.","8.85","140869423.65","n/a","2004","Consumer Services","Recreational Products/Toys","https://www.nasdaq.com/symbol/bbw",
"BG","Bunge Limited","73.43","10331588296.61","n/a","2001","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/bg",
"BURL","Burlington Stores, Inc.","126.99","8666797900.23","n/a","2013","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/burl",
"BWXT","BWX Technologies, Inc.","63.5","6317457456.5","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bwxt",
"BY","Byline Bancorp, Inc.","23.11","679071126.78","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/by",
"CJ","C&J Energy Services, Inc","25.7","1759566870.9","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/cj",
"GYB","CABCO Series 2004-101 Trust","23","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","14.06","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/pfh",
"CABO","Cable One, Inc.","705.97","4047597102.48","n/a","2015","Consumer Services","Television Services","https://www.nasdaq.com/symbol/cabo",
"CBT","Cabot Corporation","59.75","3692977033.25","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cbt",
"COG","Cabot Oil & Gas Corporation","24.99","11515048037.64","n/a","1990","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cog",
"CACI","CACI International, Inc.","157.45","3877663642.25","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/caci",
"WHD","Cactus, Inc.","26.43","1979336673.96","n/a","2018","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/whd",
"CADE","Cadence Bancorporation","28.55","2387493750","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cade",
"CAE","CAE Inc","18.12","4849515287.28","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
"CAI","CAI International, Inc.","22.41","459194839.02","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/cai",
"CAL","Caleres, Inc.","31.86","1369315304.82","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/cal",
"CRC","California Resources Corporation","14.89","638809975.94","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crc",
"CWT","California Water  Service Group Holding","37.4","1795624340.4","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/cwt",
"CALX","Calix, Inc","7.2","362842250.4","n/a","2010","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/calx",
"ELY","Callaway Golf Company","16.05","1518836281.2","n/a","1992","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/ely",
"CPE","Callon Petroleum Company","11.76","2374807696.8","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","50.76","0","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpe^a",
"CBM","Cambrex Corporation","55.95","1837779690.9","n/a","1987","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cbm",
"CPT","Camden Property Trust","84.76","7859008990.04","n/a","1993","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cpt",
"CCJ","Cameco Corporation","9.39","3716493753.48","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ccj",
"CPB","Campbell Soup Company","43.58","13101629197.04","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/cpb",
"CWH","Camping World Holdings, Inc.","36.09","3162805146.63","n/a","2016","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/cwh",
"GOOS","Canada Goose Holdings Inc.","34.74","1300198312.26","n/a","2017","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/goos",
"CM","Canadian Imperial Bank of Commerce","89.56","39794296898.4","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/cm",
"CNI","Canadian National Railway Company","73.56","54453903698.4","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cni",
"CNQ","Canadian Natural Resources Limited","30.36","37212393659.76","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cnq",
"CP","Canadian Pacific Railway Limited","177.81","25722864624.33","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/cp",
"CNNE","Cannae Holdings, Inc.","18.6","0","n/a","2017","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/cnne",
"CAJ","Canon, Inc.","37.03","39983472881.66","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CMD","Cantel Medical Corp.","113.71","4743335782.04","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/cmd",
